"","Bonifazius Türme","Cinestar","City Port","Kronberger Hof","Leitrechner","Loehrstrasse","Rathaus","Rheinufergarage","Roemisches Theater","Schillerplatz","Taubertsberg","TG Augustusplatz","Uniklinikum","Wallstrasse","Gesamtergebnis"
"04:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"04:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"04:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"05:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"05:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"05:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"05:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"06:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"06:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"06:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"06:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"07:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"07:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"07:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"07:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"08:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"08:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"08:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"08:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"09:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"09:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"09:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"09:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"10:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"10:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"10:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"10:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"11:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"11:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"11:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"11:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"12:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"12:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"12:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"12:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"13:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"13:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"13:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"13:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"14:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"14:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"14:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"14:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"15:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"15:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"15:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"15:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"16:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"16:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"16:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"16:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"17:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"17:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"17:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"17:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"18:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"18:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"18:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"18:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"19:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"19:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"19:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"19:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"20:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"20:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"20:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"20:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"21:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"21:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"21:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"21:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"22:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"22:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"22:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"22:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"23:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"23:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"23:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"23:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"04.01.2015","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"00:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"00:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"00:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"00:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"01:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"01:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"01:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"01:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"02:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"02:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"02:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"02:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"03:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"03:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"03:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"03:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"04:00","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"04:15","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"04:30","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
"04:45","450","440","970","482","1.957","144","530","497","456","420","767","577","4.309","303","12.302"
